MOVIE NAME ,MOVIE ID ,NUMBER OF RATINGS,
Another Stakeout (1993),571,28,
Passion Fish (1992),972,28,
Just Cause (1995),1042,28,
Death and the Maiden (1994),1109,28,
Chungking Express (1994),1129,28,
In Love and War (1996),1152,28,
Barbarella (1968),1411,28,
Exotica (1994),46,27,
Desperate Measures (1998),348,27,
Black Beauty (1994),389,27,
Free Willy 3: The Rescue (1997),457,27,
Vanya on 42nd Street (1994),464,27,
Tales from the Hood (1995),564,27,
My Man Godfrey (1936),613,27,
Paris Is Burning (1990),645,27,
Wishmaster (1997),681,27,
Made in America (1993),734,27,
Manhattan Murder Mystery (1993),805,27,
Pollyanna (1960),842,27,
Great Expectations (1998),905,27,
Heaven's Prisoners (1996),978,27,
Quest. The (1996),1034,27,
Living in Oblivion (1995),1070,27,
Spanking the Monkey (1994),1170,27,
Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),6,26,
Pillow Book. The (1995),253,26,
Spice World (1997),352,26,
Super Mario Bros. (1993),398,26,
Aladdin and the King of Thieves (1996),422,26,
Something to Talk About (1995),775,26,
In the Mouth of Madness (1995),800,26,
Ninotchka (1939),836,26,
Affair to Remember. An (1957),966,26,
Walkabout (1971),1149,26,
Love! Valour! Compassion! (1997),1160,26,
Friday (1995),1218,26,
Ghost in the Shell (Kokaku kidotai) (1995),1240,26,
Before and After (1996),1284,26,
Apple Dumpling Gang. The (1975),415,25,
Girl 6 (1996),818,25,
Halloween: The Curse of Michael Myers (1995),834,25,
Meet John Doe (1941),837,25,
Smile Like Yours. A (1997),938,25,
Naked (1993),960,25,
Keys to Tulsa (1997),991,25,
Two if by Sea (1996),1040,25,
Fearless (1993),1045,25,
House Arrest (1996),1049,25,
Dracula: Dead and Loving It (1995),1052,25,
Relic. The (1997),1157,25,
Portrait of a Lady. The (1996),1163,25,
Judgment Night (1993),1222,25,
Houseguest (1994),376,24,
Cry. the Beloved Country (1995),459,24,
Lord of Illusions (1995),551,24,
Microcosmos: Le peuple de l'herbe (1996),634,24,
House of the Spirits. The (1993),704,24,
Queen Margot (Reine Margot. La) (1994),730,24,
Burnt By the Sun (1994),753,24,
Garden of Finzi-Contini. The (Giardino dei Finzi-Contini. Il) (1970),863,24,
Fools Rush In (1997),869,24,
Drop Dead Fred (1991),1036,24,
Grease 2 (1982),1037,24,
Now and Then (1995),1053,24,
Kansas City (1996),130,23,
Jude (1996),149,23,
Showgirls (1995),375,23,
Fog. The (1980),635,23,
Ruby in Paradise (1993),962,23,
Turbulence (1997),986,23,
Until the End of the World (Bis ans Ende der Welt) (1991),1006,23,
Mr. Wrong (1996),1054,23,
Live Nude Girls (1995),1093,23,
Cemetery Man (Dellamorte Dellamore) (1994),1199,23,
Trial and Error (1997),1258,23,
Inventing the Abbotts (1997),1315,23,
Body Snatcher. The (1945),445,22,
Kama Sutra: A Tale of Love (1996),532,22,
Kid in King Arthur's Court. A (1995),560,22,
Village of the Damned (1995),565,22,
Three Caballeros. The (1945),624,22,
Mrs. Winterbourne (1996),821,22,
Bogus (1996),832,22,
Unstrung Heroes (1995),953,22,
Mother Night (1996),980,22,
Blood & Wine (1997),985,22,
Double vie de Véronique. La (Double Life of Veronique. The) (1991),1005,22,
Pallbearer. The (1996),1057,22,
Oliver & Company (1988),1078,22,
Mrs. Parker and the Vicious Circle (1994),1113,22,
Little Buddha (1993),1168,22,
Welcome To Sarajevo (1997),1176,22,
Marked for Death (1990),1231,22,
How to Be a Player (1997),335,21,
Misérables. Les (1995),543,21,
Lawnmower Man 2: Beyond Cyberspace (1996),758,21,
Richie Rich (1994),795,21,
Candyman: Farewell to the Flesh (1995),816,21,
Ice Storm. The (1997),865,21,
Oscar & Lucinda (1997),906,21,
Funeral. The (1996),933,21,
Funny Face (1957),965,21,
Anne Frank Remembered (1995),1084,21,
It's My Party (1995),1086,21,
Umbrellas of Cherbourg. The (Parapluies de Cherbourg. Les) (1964),1121,21,
My Family (1995),1147,21,
Top Hat (1935),1203,21,
Flipper (1996),112,20,
Paradise Lost: The Child Murders at Robin Hood Hills (1996),320,20,
Prophecy II. The (1998),351,20,
For Whom the Bell Tolls (1943),601,20,
Ma vie en rose (My Life in Pink) (1997),904,20,
Half Baked (1998),908,20,
Maximum Risk (1996),982,20,
Beverly Hillbillies. The (1993),1030,20,
Kiss of Death (1995),1208,20,
Goofy Movie. A (1995),1219,20,
Indian Summer (1996),1296,20,
Specialist. The (1994),1407,20,
D3: The Mighty Ducks (1996),138,19,
Steel (1997),263,19,
Children of the Corn: The Gathering (1996),424,19,
Fatal Instinct (1993),579,19,
Widows' Peak (1994),703,19,
Home Alone 3 (1997),894,19,
Trust (1990),1103,19,
Surviving Picasso (1996),1117,19,
Backbeat (1993),1153,19,
Major Payne (1994),1178,19,
Cowboy Way. The (1994),1183,19,
Amos & Andrew (1993),1206,19,
Gridlock'd (1997),1245,19,
Blink (1994),1248,19,
Star Maps (1997),1265,19,
Set It Off (1996),1277,19,
Out to Sea (1997),1283,19,
That Darn Cat! (1965),1444,19,
Robert A. Heinlein's The Puppet Masters (1994),84,18,
House of Yes. The (1997),337,18,
Assignment. The (1997),359,18,
Little Rascals. The (1994),400,18,
Hellraiser: Bloodline (1996),590,18,
Blue Angel. The (Blaue Engel. Der) (1930),617,18,
Picnic (1955),618,18,
Thirty-Two Short Films About Glenn Gould (1993),811,18,
Andre (1994),812,18,
Jingle All the Way (1996),862,18,
Afterglow (1997),903,18,
Lost in Space (1998),916,18,
Inspector General. The (1949),968,18,
Amateur (1994),1069,18,
Hate (Haine. La) (1995),1097,18,
Firestorm (1998),1105,18,
Beyond Rangoon (1995),1107,18,
In the Army Now (1994),1185,18,
To Be or Not to Be (1942),1204,18,
Ready to Wear (Pret-A-Porter) (1994),1230,18,
Cutthroat Island (1995),1239,18,
Getaway. The (1994),1303,18,
M. Butterfly (1993),1401,18,
Dead Presidents (1995),1478,18,
Farinelli: il castrato (1994),557,17,
Mute Witness (1994),773,17,
Big Blue. The (Grand bleu. Le) (1988),947,17,
Stupids. The (1996),1001,17,
Switchback (1997),1038,17,
I'm Not Rappaport (1996),1120,17,
Road to Wellville. The (1994),1140,17,
Jade (1995),1207,17,
Madonna: Truth or Dare (1991),1232,17,
Shall We Dance? (1937),1286,17,
When the Cats Away (Chacun cherche son chat) (1996),256,16,
Jaws 3-D (1983),453,16,
Bastard Out of Carolina (1996),454,16,
Dark City (1998),691,16,
In the Bleak Midwinter (1995),718,16,
Exit to Eden (1994),725,16,
Ruling Class. The (1972),745,16,
Air Up There. The (1994),801,16,
Bad Taste (1987),854,16,
Believers. The (1987),860,16,
Stuart Saves His Family (1995),997,16,
Cabin Boy (1994),998,16,
Little Big League (1994),1032,16,
Balto (1995),1066,16,
Party Girl (1995),1071,16,
Selena (1997),1278,16,
Gang Related (1997),1280,16,
Waiting to Exhale (1995),1311,16,
Highlander III: The Sorcerer (1994),1419,16,
All Dogs Go to Heaven 2 (1996),103,15,
Haunted World of Edward D. Wood Jr.. The (1995),115,15,
Daytrippers. The (1996),533,15,
Boxing Helena (1993),574,15,
Miami Rhapsody (1995),700,15,
Go Fish (1994),733,15,
Gay Divorcee. The (1934),835,15,
April Fool's Day (1986),859,15,
One Night Stand (1997),888,15,
Rich Man's Wife. The (1996),983,15,
Mrs. Dalloway (1997),1024,15,
War. The (1994),1058,15,
Cobb (1994),1112,15,
Hard Eight (1996),1143,15,
Women. The (1939),1172,15,
Mixed Nuts (1994),1209,15,
Foxfire (1996),1263,15,
Color of Night (1994),1273,15,
Princess Caraboo (1994),1285,15,
Celtic Pride (1996),1291,15,
Bye Bye. Love (1995),1446,15,
Foreign Correspondent (1940),1451,15,
Deep Rising (1998),353,14,
Amityville II: The Possession (1982),440,14,
Hour of the Pig. The (1993),587,14,
Fluke (1995),726,14,
Perez Family. The (1995),786,14,
Braindead (1992),853,14,
For Richer or Poorer (1997),893,14,
To Live (Huozhe) (1994),958,14,
Big Green. The (1995),996,14,
Jury Duty (1995),1029,14,
Big Bully (1996),1165,14,
Wild Reeds (1994),1171,14,
Angus (1995),1225,14,
Palmetto (1998),1313,14,
Mad Love (1995),36,13,
Heavyweights (1994),377,13,
Traveller (1997),534,13,
Body Parts (1991),669,13,
Kicking and Screaming (1995),695,13,
Carrington (1995),714,13,
Roommates (1995),787,13,
Alaska (1996),828,13,
Telling Lies in America (1997),883,13,
Phantoms (1998),885,13,
Tango Lesson. The (1997),889,13,
Dangerous Beauty (1998),909,13,
Primary Colors (1998),915,13,
Double Team (1997),1088,13,
Red Firecracker. Green Firecracker (1994),1099,13,
Mark of Zorro. The (1940),1116,13,
Heidi Fleiss: Hollywood Madam (1995) ,1128,13,
Safe (1995),1131,13,
Palookaville (1996),1161,13,
Cops and Robbersons (1994),1182,13,
Switchblade Sisters (1975),1187,13,
Boys of St. Vincent. The (1993),1192,13,
Poison Ivy II (1995),1229,13,
Manny & Lo (1996),1281,13,
Withnail and I (1987),1404,13,
Radioland Murders (1994),394,12,
Striking Distance (1993),397,12,
Vampire in Brooklyn (1995),545,12,
NeverEnding Story III. The (1994),548,12,
Wild Bill (1995),556,12,
Stalingrad (1993),593,12,
Audrey Rose (1977),667,12,
Mr. Magoo (1997),901,12,
Little Lord Fauntleroy (1936),967,12,
Solo (1996),976,12,
Shiloh (1997),1015,12,
Four Days in September (1997),1062,12,
Star Maker. The (Uomo delle stelle. L') (1995),1068,12,
Pagemaster. The (1994),1076,12,
Dear God (1996),1092,12,
Thin Line Between Love and Hate. A (1996),1094,12,
Farewell to Arms. A (1932),1124,12,
Alphaville (1965),1154,12,
Love & Human Remains (1993),1166,12,
Blue Sky (1994),1211,12,
Scout. The (1994),1224,12,
For Love or Money (1993),1249,12,
Bread and Chocolate (Pane e cioccolata) (1973),1266,12,
Love Affair (1994),1297,12,
SubUrbia (1997),1428,12,
Tom and Huck (1995),1469,12,
Man in the Iron Mask. The (1998),1483,12,
Losing Isaiah (1995),1518,12,
Free Willy 2: The Adventure Home (1995),35,11,
Critical Care (1997),341,11,
Mighty Morphin Power Rangers: The Movie (1995),374,11,
Davy Crockett. King of the Wild Frontier (1955),621,11,
Fair Game (1995),759,11,
Addiction. The (1995),767,11,
Wild Things (1998),914,11,
Unzipped (1995),954,11,
Carried Away (1996),1085,11,
Truman Show. The (1998),1127,11,
Stalker (1979),1159,11,
Sum of Us. The (1994),1167,11,
That Old Feeling (1997),1190,11,
Strawberry and Chocolate (Fresa y chocolate) (1993),1195,11,
Gone Fishin' (1997),1254,11,
Robocop 3 (1993),1274,11,
Surviving the Game (1994),1314,11,
American Buffalo (1996),1335,11,
My Crazy Life (Mi vida loca) (1993),1421,11,
Herbie Rides Again (1974),1480,11,
White Balloon. The (1995),18,10,
Unhook the Stars (1996),146,10,
Wonderland (1997),360,10,
Incognito (1997),361,10,
Fear of a Black Hat (1993),390,10,
Ponette (1996),536,10,
White Man's Burden (1995),555,10,
Browning Version. The (1994),698,10,
Wonderful. Horrible Life of Leni Riefenstahl. The (1993),701,10,
Little Odessa (1994),782,10,
Baby-Sitters Club. The (1995),791,10,
Crooklyn (1994),793,10,
Clean Slate (1994),999,10,
Lightning Jack (1994),1000,10,
Simple Twist of Fate. A (1994),1055,10,
Cronos (1992),1056,10,
Bloodsport 2 (1995),1087,10,
Faithful (1996),1114,10,
Fresh (1994),1169,10,
I Love Trouble (1994),1180,10,
Low Down Dirty Shame. A (1994),1181,10,
Endless Summer 2. The (1994),1184,10,
Before the Rain (Pred dozhdot) (1994),1193,10,
Bitter Moon (1992),1268,10,
Love in the Afternoon (1957),1269,10,
Kazaam (1996),1336,10,
Cement Garden. The (1993),1375,10,
Picture Bride (1995),1400,10,
I'll Do Anything (1994),1425,10,
Shooting Fish (1997),1434,10,
Gold Diggers: The Secret of Bear Mountain (1995),1503,10,
Amazing Panda Adventure. The (1995),1540,10,
Warriors of Virtue (1997),1615,10,
Horseman on the Roof. The (Hussard sur le toit. Le) (1995),113,9,
unknown,267,9,
Burnt Offerings (1976),446,9,
True Crime (1995),592,9,
Man of the Year (1995),766,9,
Three Wishes (1995),776,9,
Bad Company (1995),798,9,
Heaven & Earth (1993),803,9,
Poetic Justice (1993),807,9,
Murder. My Sweet (1944),848,9,
Touch (1997),870,9,
Winter Guest. The (1997),899,9,
U.S. Marshalls (1998),912,9,
Month by the Lake. A (1995),964,9,
Geronimo: An American Legend (1993),1004,9,
War Room. The (1993),1141,9,
Blue Chips (1994),1145,9,
Tom & Viv (1994),1148,9,
Last Dance (1996),1150,9,
Man of the House (1995),1179,9,
In the Realm of the Senses (Ai no corrida) (1976),1214,9,
Contempt (Mépris. Le) (1963),1252,9,
Wild America (1997),1279,9,
Grass Harp. The (1995),1282,9,
Band Wagon. The (1953),1298,9,
'Til There Was You (1997),1300,9,
Larger Than Life (1996),1337,9,
Stag (1997),1393,9,
Next Karate Kid. The (1994),1415,9,
House Party 3 (1994),1437,9,
Hideaway (1995),1471,9,
Little Princess. The (1939),1473,9,
Sixth Man. The (1997),1620,9,
Nadja (1994),37,8,
Jimmy Hollywood (1994),804,8,
City of Angels (1998),918,8,
Hear My Song (1991),970,8,
Dangerous Ground (1997),981,8,
Pest. The (1997),1002,8,
That Darn Cat! (1997),1003,8,
Rent-a-Kid (1995),1043,8,
Love and a .45 (1994),1077,8,
Curdled (1996),1081,8,
Female Perversions (1996),1082,8,
What Happened Was... (1994),1100,8,
Caught (1996),1174,8,
Maybe. Maybe Not (Bewegte Mann. Der) (1994),1202,8,
Awfully Big Adventure. An (1995),1227,8,
Chairman of the Board (1998),1234,8,
Full Speed (1996),1238,8,
A Chef in Love (1996),1251,8,
Broken English (1996),1255,8,
Walking and Talking (1996),1262,8,
Sunset Park (1996),1276,8,
Penny Serenade (1941),1299,8,
Losing Chase (1996),1381,8,
Street Fighter (1994),1413,8,
Grace of My Heart (1996),1426,8,
Jason's Lyric (1994),1439,8,
Pather Panchali (1955),1449,8,
Bhaji on the Beach (1993),1475,8,
Reckless (1995),1479,8,
Kaspar Hauser (1993),1524,8,
Doom Generation. The (1995),34,7,
Faster Pussycat! Kill! Kill! (1965),74,7,
Year of the Horse (1997),884,7,
Mercury Rising (1998),917,7,
Paradise Road (1997),935,7,
Last Time I Committed Suicide. The (1997),994,7,
Lassie (1994),1031,7,
Pyromaniac's Love Story. A (1995),1072,7,
Man of No Importance. A (1994),1075,7,
Two Much (1996),1102,7,
Double Happiness (1994),1111,7,
Original Gangstas (1996),1151,7,
Bliss (1997),1173,7,
Dunston Checks In (1996),1177,7,
Purple Noon (1960),1198,7,
Kim (1950),1200,7,
Night Flier (1997),1243,7,
Bushwhacked (1995),1246,7,
Tie That Binds. The (1995),1253,7,
Nothing to Lose (1994),1264,7,
Life with Mikey (1993),1270,7,
North (1994),1271,7,
Denise Calls Up (1995),1288,7,
Jack and Sarah (1995),1289,7,
Ayn Rand: A Sense of Life (1997),1294,7,
Kicked in the Head (1997),1295,7,
National Lampoon's Senior Trip (1995),1305,7,
Pompatus of Love. The (1996),1312,7,
Horse Whisperer. The (1998),1316,7,
Meet Wally Sparks (1997),1376,7,
Love and Other Catastrophes (1996),1379,7,
Swept from the Sea (1997),1394,7,
Stranger in the House (1997),1399,7,
Swan Princess. The (1994),1409,7,
Steal Big. Steal Little (1995),1435,7,
Moonlight and Valentino (1995),1441,7,
Beat the Devil (1954),1456,7,
Madame Butterfly (1995),1459,7,
Thieves (Voleurs. Les) (1996),1462,7,
Dream With the Fishes (1997),1514,7,
Trial by Jury (1994),1522,7,
Senseless (1998),1527,7,
Far From Home: The Adventures of Yellow Dog (1995),1531,7,
Aparajito (1956),1558,7,
Promesse. La (1996),296,6,
Amityville 3-D (1983),438,6,
Blood Beach (1981),668,6,
Bad Moon (1996),706,6,
Whole Wide World. The (1996),867,6,
Bent (1997),891,6,
Flower of My Secret. The (Flor de mi secreto. La) (1995),927,6,
Albino Alligator (1996),1083,6,
Zeus and Roxanne (1997),1164,6,
Secret Agent. The (1996),1205,6,
Flesh and Bone (1993),1212,6,
Guilty as Sin (1993),1213,6,
Kissed (1996),1216,6,
Nénette et Boni (1996),1233,6,
Twisted (1996),1237,6,
Van. The (1996),1241,6,
Bad Girls (1994),1247,6,
Best of the Best 3: No Turning Back (1995),1250,6,
Ed (1996),1287,6,
Metisse (Café au Lait) (1993),1322,6,
Boys (1996),1326,6,
Of Love and Shadows (1994),1328,6,
Infinity (1996),1355,6,
Mina Tannenbaum (1994),1368,6,
Hollow Reed (1996),1380,6,
Second Jungle Book: Mowgli & Baloo. The (1997),1383,6,
Tetsuo II: Body Hammer (1992),1386,6,
Gabbeh (1996),1388,6,
Hurricane Streets (1998),1395,6,
Boy's Life 2 (1997),1405,6,
Land Before Time III: The Time of the Great Giving (1995) (V),1412,6,
Angel and the Badman (1947),1454,6,
Margaret's Museum (1995),1466,6,
Cure. The (1995),1468,6,
Nina Takes a Lover (1994),1474,6,
World of Apu. The (Apur Sansar) (1959),1512,6,
Twin Town (1997),1534,6,
Duoluo tianshi (1995),1591,6,
City of Industry (1997),1598,6,
Brother Minister: The Assassination of Malcolm X (1994),75,5,
Theodore Rex (1995),104,5,
Turbo: A Power Rangers Movie (1997),247,5,
3 Ninjas: High Noon At Mega Mountain (1998),314,5,
Amityville 1992: It's About Time (1992),437,5,
Amityville: A New Generation (1993),439,5,
Heavy (1995),594,5,
Blood For Dracula (Andy Warhol's Dracula) (1974),666,5,
Boys Life (1995),799,5,
Hearts and Minds (1996),868,5,
Two Bits (1995),920,5,
Feast of July (1995),1108,5,
Best Men (1997),1138,5,
Phat Beach (1996),1162,5,
Hugo Pool (1997),1175,5,
Old Lady Who Walked in the Sea. The (Vieille qui marchait dans la mer. La) (1991),1242,5,
Talking About Sex (1994),1272,5,
Stripes (1981),1301,5,
Late Bloomers (1996),1302,5,
Loaded (1994),1324,5,
Midnight Dancers (Sibak) (1994),1333,5,
Story of Xinghua. The (1993),1344,5,
Dingo (1992),1346,5,
1-900 (1994),1353,5,
Faust (1994),1367,5,
Rhyme & Reason (1997),1378,5,
Roseanna's Grave (For Roseanna) (1997),1385,5,
Locusts. The (1997),1392,5,
Stonewall (1995),1396,5,
Of Human Bondage (1934),1397,5,
When Night Is Falling (1995),1406,5,
No Escape (1994),1416,5,
Drunks (1995),1427,5,
Legal Deceit (1997),1431,5,
Panther (1995),1438,5,
Above the Rim (1994),1440,5,
Scarlet Letter. The (1995),1442,5,
Gumby: The Movie (1995),1470,5,
Even Cowgirls Get the Blues (1993),1487,5,
Chasers (1994),1489,5,
Flirt (1995),1495,5,
Carpool (1996),1496,5,
Prisoner of the Mountains (Kavkazsky Plennik) (1996),1501,5,
Getting Even with Dad (1994),1509,5,
Children of the Revolution (1996),1511,5,
Race the Sun (1996),1517,5,
Underground (1995),1529,5,
Jefferson in Paris (1995),1530,5,
Secret Adventures of Tom Thumb. The (1993),1555,5,
Magic Hour. The (1998),1592,5,
Romper Stomper (1992),1597,5,
Maya Lin: A Strong Clear Vision (1994),119,4,
Amityville Curse. The (1990),442,4,
Big Squeeze. The (1996),598,4,
So Dear to My Heart (1949),626,4,
The Innocent (1994),643,4,
Across the Sea of Time (1995),757,4,
Castle Freak (1995),777,4,
Faces (1968),822,4,
In the Line of Duty 2 (1987),838,4,
Loch Ness (1995),839,4,
Perfect Candidate. A (1996),850,4,
Two or Three Things I Know About Her (1966),851,4,
Nil By Mouth (1997),910,4,
Twilight (1998),911,4,
Grateful Dead (1995),973,4,
Underworld (1997),987,4,
Head Above Water (1996),992,4,
Lay of the Land. The (1997),1026,4,
Crossfire (1947),1064,4,
C'est arrivé près de chez vous (1992),1104,4,
Newton Boys. The (1998),1106,4,
Innocents. The (1961),1125,4,
Fille seule. La (A Single Girl) (1995),1158,4,
King of the Hill (1993),1223,4,
Designated Mourner. The (1997),1257,4,
Pie in the Sky (1995),1259,4,
Total Eclipse (1995),1260,4,
Run of the Country. The (1995),1261,4,
Killer (Bulletproof Heart) (1994),1275,4,
Journey of August King. The (1995),1317,4,
Neon Bible. The (1995),1319,4,
An Unforgettable Summer (1994),1330,4,
Last Klezmer: Leopold Kozlowski. His Life and Music. The (1995),1331,4,
Two Deaths (1995),1338,4,
Ballad of Narayama. The (Narayama Bushiko) (1958),1347,4,
Forbidden Christ. The (Cristo proibito. Il) (1950),1369,4,
Hotel de Love (1996),1377,4,
Bonheur. Le (1965),1382,4,
Ciao. Professore! (1993),1402,4,
Caro Diario (Dear Diary) (1994),1403,4,
Harlem (1993),1410,4,
Suture (1993),1422,4,
Walking Dead. The (1995),1423,4,
Sliding Doors (1998),1429,4,
8 Seconds (1994),1443,4,
Ladybird Ladybird (1994),1445,4,
Colonel Chabert. Le (1994),1485,4,
Germinal (1993),1488,4,
Grosse Fatigue (1994),1499,4,
Mr. Wonderful (1993),1521,4,
Enfer. L' (1994),1535,4,
Cosi (1996),1537,4,
Being Human (1993),1539,4,
Frankie Starlight (1995),1545,4,
Underneath. The (1995),1553,4,
Clean Slate (Coup de Torchon) (1981),1560,4,
Schizopolis (1996),1589,4,
Guantanamera (1994),1600,4,
Love Serenade (1996),1605,4,
Buddy (1997),1608,4,
Leading Man. The (1996),1612,4,
Lamerica (1994),1628,4,
Angel Baby (1995),1643,4,
8 Heads in a Duffel Bag (1997),1664,4,
Relative Fear (1994),788,3,
Frisk (1995),817,3,
Amityville: Dollhouse (1996),858,3,
Nosferatu a Venezia (1986),861,3,
Shooter. The (1995),1027,3,
Commandments (1997),1096,3,
Last Time I Saw Paris. The (1954),1123,3,
Quiet Room. The (1996),1144,3,
Calendar Girl (1993),1146,3,
Rendezvous in Paris (Rendez-vous de Paris. Les) (1995),1155,3,
Inkwell. The (1994),1186,3,
Prefontaine (1997),1189,3,
Letter From Death Row. A (1998),1191,3,
Savage Nights (Nuits fauves. Les) (1992),1196,3,
Designated Mourner. The (1997),1256,3,
Simple Wish. A (1997),1292,3,
Star Kid (1997),1293,3,
Catwalk (1995),1318,3,
Wooden Man's Bride. The (Wu Kui) (1994),1323,3,
Captives (1994),1327,3,
Lover's Knot (1996),1351,3,
Ed's Next Move (1996),1356,3,
For the Moment (1994),1357,3,
Search for One-eye Jimmy. The (1996),1361,3,
I Can't Sleep (J'ai pas sommeil) (1994),1370,3,
Stranger. The (1994),1372,3,
Squeeze (1996),1384,3,
Fall (1997),1387,3,
Mondo (1996),1389,3,
For Ever Mozart (1996),1391,3,
Gordy (1995),1408,3,
Joy Luck Club. The (1993),1418,3,
Gilligan's Island: The Movie (1998),1420,3,
I Like It Like That (1994),1424,3,
Ill Gotten Gains (1997),1430,3,
Mighty. The (1998),1432,3,
My Favorite Season (1993),1448,3,
Boys. Les (1997),1463,3,
Stars Fell on Henrietta. The (1995),1464,3,
Last Summer in the Hamptons (1995),1465,3,
Jerky Boys. The (1994),1484,3,
Fausto (1993),1490,3,
Bewegte Mann. Der (1994),1504,3,
Nelly & Monsieur Arnaud (1995),1506,3,
Babysitter. The (1995),1508,3,
Sprung (1997),1513,3,
Wedding Gift. The (1994),1516,3,
Nowhere (1997),1528,3,
All Over Me (1997),1538,3,
It Takes Two (1995),1544,3,
Hunted. The (1995),1552,3,
Price Above Rubies. A (1998),1602,3,
Hurricane Streets (1998),1607,3,
B*A*P*S (1997),1609,3,
Truth or Consequences. N.M. (1997),1610,3,
Paris. France (1993),1622,3,
Cérémonie. La (1995),1623,3,
Bitter Sugar (Azucar Amargo) (1996),1639,3,
Temptress Moon (Feng Yue) (1996),1652,3,
Substance of Fire. The (1996),1658,3,
Daniel Defoe's Robinson Crusoe (1996),600,2,
Beyond Bedlam (1993),784,2,
Time Tracers (1995),897,2,
Vermin (1998),907,2,
Love and Death on Long Island (1997),913,2,
Pushing Hands (1992),957,2,
Celestial Clockwork (1994),1080,2,
Country Life (1994),1290,2,
New York Cop (1996),1304,2,
Delta of Venus (1994),1306,2,
Carmen Miranda: Bananas Is My Business (1994),1307,2,
Babyfever (1994),1308,2,
Open Season (1996),1321,2,
My Life and Times With Antonin Artaud (En compagnie d'Antonin Artaud) (1993),1332,2,
Somebody to Love (1994),1334,2,
Convent. The (Convento. O) (1995),1342,2,
Day the Sun Turned Cold. The (Tianguo niezi) (1994),1345,2,
Crows and Sparrows (1949),1350,2,
Venice/Venice (1992),1354,2,
The Deadly Cure (1996),1358,2,
Boys in Venice (1996),1359,2,
Sexual Life of the Belgians. The (1994),1360,2,
American Strays (1996),1362,2,
Johnny 100 Pesos (1993),1365,2,
Machine. The (1994),1371,2,
Falling in Love Again (1980),1374,2,
Innocent Sleep. The (1995),1390,2,
Anna (1996),1398,2,
Turning. The (1992),1417,2,
Men of Means (1998),1433,2,
Mr. Jones (1993),1436,2,
Golden Earrings (1947),1450,2,
Outlaw. The (1943),1455,2,
Saint of Fort Washington. The (1993),1467,2,
Visitors. The (Visiteurs. Les) (1993),1472,2,
Nightwatch (1997),1477,2,
S.F.W. (1994),1481,2,
Tough and Deadly (1995),1491,2,
Line King: Al Hirschfeld. The (1996),1497,2,
Santa with Muscles (1996),1500,2,
Naked in New York (1994),1502,2,
New Jersey Drive (1995),1519,2,
Good Man in Africa. A (1994),1523,2,
Foreign Student (1994),1532,2,
Beans of Egypt. Maine. The (1994),1541,2,
Scarlet Letter. The (1926),1542,2,
Show. The (1995),1547,2,
Dream Man (1995),1549,2,
Destiny Turns on the Radio (1995),1550,2,
Glass Shield. The (1994),1551,2,
Safe Passage (1994),1554,2,
Condition Red (1995),1556,2,
Spirits of the Dead (Tre passi nel delirio) (1968),1573,2,
Collectionneuse. La (1967),1578,2,
American Dream (1990),1585,2,
Salut cousin! (1996),1588,2,
To Have. or Not (1995),1590,2,
Everest (1998),1594,2,
Intimate Relations (1996),1611,2,
Hugo Pool (1997),1617,2,
Nico Icon (1995),1629,2,
Slingshot. The (1993),1631,2,
Some Mother's Son (1996),1642,2,
Sudden Manhattan (1996),1644,2,
Men With Guns (1997),1646,2,
Little City (1998),1656,2,
Rough Magic (1995),1662,2,
Kika (1993),1672,2,
Police Story 4: Project S (Chao ji ji hua) (1993),599,1,
Fire on the Mountain (1996),677,1,
Substance of Fire. The (1996),711,1,
Great Day in Harlem. A (1994),814,1,
Power 98 (1995),830,1,
Bloody Child. The (1996),852,1,
Paris Was a Woman (1995),857,1,
They Made Me a Criminal (1939),1122,1,
Jupiter's Wife (1994),1130,1,
Cyclo (1995),1156,1,
Marlene Dietrich: Shadow and Light (1996) ,1201,1,
Big Bang Theory. The (1994),1235,1,
Other Voices. Other Rooms (1997),1236,1,
Very Natural Thing. A (1974),1309,1,
Walk in the Sun. A (1945),1310,1,
Homage (1995),1320,1,
August (1996),1325,1,
Low Life. The (1994),1329,1,
Stefano Quantestorie (1993),1339,1,
Crude Oasis. The (1995),1340,1,
Hedd Wyn (1992),1341,1,
Lotto Land (1995),1343,1,
Every Other Weekend (1990),1348,1,
Mille bolle blu (1993),1349,1,
Shadow of Angels (Schatten der Engel) (1976),1352,1,
Leopard Son. The (1996),1363,1,
Bird of Prey (1996),1364,1,
JLG/JLG - autoportrait de décembre (1994),1366,1,
Good Morning (1971),1373,1,
Coldblooded (1995),1414,1,
Century (1993),1447,1,
Lady of Burlesque (1943),1452,1,
Angel on My Shoulder (1946),1453,1,
Love Is All There Is (1996),1457,1,
Damsel in Distress. A (1937),1458,1,
Sleepover (1995),1460,1,
Here Comes Cookie (1935),1461,1,
Raw Deal (1948),1476,1,
Gate of Heavenly Peace. The (1995),1482,1,
Girl in the Cadillac (1995),1486,1,
Window to Paris (1994),1492,1,
Modern Affair. A (1995),1493,1,
Mostro. Il (1994),1494,1,
Farmer & Chase (1995),1498,1,
Killer: A Journal of Murder (1995),1505,1,
Three Lives and Only One Death (1996),1507,1,
Mad Dog Time (1996),1510,1,
